Intersection1,Intersection2,Distance
3rd Ave and C Street,4th Ave and C Street,1
4th Ave and C Street,5th Ave and C Street,1
5th Ave and C Street,6th Ave and C Street,1
6th Ave and C Street,7th Ave and C Street,1
7th Ave and C Street,6th Ave and C Street,9999
6th Ave and C Street,5th Ave and C Street,9999
5th Ave and C Street,4th Ave and C Street,9999
4th Ave and C Street,3rd Ave and C Street,9999
3rd Ave and C Street,2nd Ave and C Street,9999
2nd Ave and C Street,1st Ave and C Street,9999
1st Ave and C Street,1st Ave and D Street,9999
2nd Ave and C Street,2nd Ave and D Street,1
3rd Ave and C Street,3rd Ave and D Street,9999
4th Ave and C Street,4th Ave and D Street,1
5th Ave and C Street,5th Ave and D Street,9999
6th Ave and C Street,6th Ave and D Street,1
7th Ave and C Street,7th Ave and D Street,9999
1st Ave and D Street,1st Ave and C Street,1
2nd Ave and D Street,2nd Ave and C Street,1
3rd Ave and D Street,3rd Ave and C Street,1
4th Ave and D Street,4th Ave and C Street,9999
5th Ave and D Street,5th Ave and C Street,1
6th Ave and D Street,6th Ave and C Street,1
7th Ave and D Street,7th Ave and C Street,1
1st Ave and D Street,2nd Ave and D Street,1
2nd Ave and D Street,3rd Ave and D Street,1
3rd Ave and D Street,4th Ave and D Street,1
4th Ave and D Street,5th Ave and D Street,1
5th Ave and D Street,6th Ave and D Street,1
6th Ave and D Street,7th Ave and D Street,1
7th Ave and D Street,6th Ave and D Street,1
6th Ave and D Street,5th Ave and D Street,1
5th Ave and D Street,4th Ave and D Street,1
4th Ave and D Street,3rd Ave and D Street,1
3rd Ave and D Street,2nd Ave and D Street,1
2nd Ave and D Street,1st Ave and D Street,1
1st Ave and D Street,1st Ave and E Street,9999
2nd Ave and D Street,2nd Ave and E Street,1
3rd Ave and D Street,3rd Ave and E Street,9999
4th Ave and D Street,4th Ave and E Street,1
5th Ave and D Street,5th Ave and E Street,9999
6th Ave and D Street,6th Ave and E Street,1
7th Ave and D Street,7th Ave and E Street,9999
1st Ave and E Street,1st Ave and D Street,1
2nd Ave and E Street,2nd Ave and D Street,1
3rd Ave and E Street,3rd Ave and D Street,1
4th Ave and E Street,4th Ave and D Street,9999
5th Ave and E Street,5th Ave and D Street,1
6th Ave and E Street,6th Ave and D Street,1
7th Ave and E Street,7th Ave and D Street,1
1st Ave and E Street,2nd Ave and E Street,1
2nd Ave and E Street,3rd Ave and E Street,1
3rd Ave and E Street,4th Ave and E Street,1
4th Ave and E Street,5th Ave and E Street,1
5th Ave and E Street,6th Ave and E Street,1
6th Ave and E Street,7th Ave and E Street,1
7th Ave and E Street,6th Ave and E Street,9999
6th Ave and E Street,5th Ave and E Street,9999
5th Ave and E Street,4th Ave and E Street,9999
4th Ave and E Street,3rd Ave and E Street,9999
3rd Ave and E Street,2nd Ave and E Street,9999
2nd Ave and E Street,1st Ave and E Street,9999
1st Ave and E Street,1st Ave and F Street,9999
2nd Ave and E Street,2nd Ave and F Street,1
3rd Ave and E Street,3rd Ave and F Street,9999
4th Ave and E Street,4th Ave and F Street,1
5th Ave and E Street,5th Ave and F Street,9999
6th Ave and E Street,6th Ave and F Street,1
7th Ave and E Street,7th Ave and F Street,9999
1st Ave and F Street,1st Ave and E Street,1
2nd Ave and F Street,2nd Ave and E Street,1
3rd Ave and F Street,3rd Ave and E Street,1
4th Ave and F Street,4th Ave and E Street,9999
5th Ave and F Street,5th Ave and E Street,1
6th Ave and F Street,6th Ave and E Street,1
7th Ave and F Street,7th Ave and E Street,1
1st Ave and F Street,2nd Ave and F Street,9999
2nd Ave and F Street,3rd Ave and F Street,9999
3rd Ave and F Street,4th Ave and F Street,9999
4th Ave and F Street,5th Ave and F Street,9999
5th Ave and F Street,6th Ave and F Street,9999
6th Ave and F Street,7th Ave and F Street,9999
7th Ave and F Street,6th Ave and F Street,1
6th Ave and F Street,5th Ave and F Street,1
5th Ave and F Street,4th Ave and F Street,1
4th Ave and F Street,3rd Ave and F Street,1
3rd Ave and F Street,2nd Ave and F Street,1
2nd Ave and F Street,1st Ave and F Street,1
1st Ave and F Street,1st Ave and G Street,9999
2nd Ave and F Street,2nd Ave and G Street,1
3rd Ave and F Street,3rd Ave and G Street,9999
4th Ave and F Street,4th Ave and G Street,1
5th Ave and F Street,5th Ave and G Street,9999
6th Ave and F Street,6th Ave and G Street,1
7th Ave and F Street,7th Ave and G Street,9999
1st Ave and G Street,1st Ave and F Street,1
2nd Ave and G Street,2nd Ave and F Street,1
3rd Ave and G Street,3rd Ave and F Street,1
4th Ave and G Street,4th Ave and F Street,9999
5th Ave and G Street,5th Ave and F Street,1
6th Ave and G Street,6th Ave and F Street,1
7th Ave and G Street,7th Ave and F Street,1
1st Ave and G Street,2nd Ave and G Street,1
2nd Ave and G Street,3rd Ave and G Street,1
3rd Ave and G Street,4th Ave and G Street,1
4th Ave and G Street,5th Ave and G Street,1
5th Ave and G Street,6th Ave and G Street,1
6th Ave and G Street,7th Ave and G Street,1
7th Ave and G Street,6th Ave and G Street,9999
6th Ave and G Street,5th Ave and G Street,9999
5th Ave and G Street,4th Ave and G Street,9999
4th Ave and G Street,3rd Ave and G Street,9999
3rd Ave and G Street,2nd Ave and G Street,9999
2nd Ave and G Street,1st Ave and G Street,9999
